x,t,u
-1.1875,0.05,0.003558901
-1.15625,0.05,0.004766799
-1.125,0.05,0.006334178
-1.09375,0.05,0.008350166
-1.0625,0.05,0.010920165
-1.03125,0.05,0.014167054
-1,0.05,0.018231926
-0.96875,0.05,0.023274193
-0.9375,0.05,0.029470858
-0.90625,0.05,0.037014781
-0.875,0.05,0.046111816
-0.84375,0.05,0.056976702
-0.8125,0.05,0.069827714
-0.78125,0.05,0.08488015
-0.75,0.05,0.102338822
-0.71875,0.05,0.122389837
-0.6875,0.05,0.145191999
-0.65625,0.05,0.170868253
-0.625,0.05,0.199497567
-0.59375,0.05,0.231107639
-0.5625,0.05,0.265668755
-0.53125,0.05,0.303089014
-0.5,0.05,0.343211055
-0.46875,0.05,0.385810293
-0.4375,0.05,0.430594609
-0.40625,0.05,0.477205357
-0.375,0.05,0.525219521
-0.34375,0.05,0.574152868
-0.3125,0.05,0.623463947
-0.28125,0.05,0.672558885
-0.25,0.05,0.720796949
-0.21875,0.05,0.767496994
-0.1875,0.05,0.811944972
-0.15625,0.05,0.853402828
-0.125,0.05,0.891119159
-0.09375,0.05,0.924342142
-0.0625,0.05,0.952335238
-0.03125,0.05,0.974396201
0,0.05,0.989879826
0.03125,0.05,0.998256818
0.0625,0.05,0.999080697
0.09375,0.05,0.99184484
0.125,0.05,0.976687227
0.15625,0.05,0.953591572
0.1875,0.05,0.922863196
0.21875,0.05,0.885047623
0.25,0.05,0.840923007
0.28125,0.05,0.791475774
0.3125,0.05,0.737857356
0.34375,0.05,0.681325096
0.375,0.05,0.623173461
0.40625,0.05,0.56466369
0.4375,0.05,0.506960161
0.46875,0.05,0.451080207
0.5,0.05,0.397861213
0.53125,0.05,0.347945698
0.5625,0.05,0.301782436
0.59375,0.05,0.259640032
0.625,0.05,0.221628767
0.65625,0.05,0.187726793
0.6875,0.05,0.157807505
0.71875,0.05,0.131665784
0.75,0.05,0.109041698
0.78125,0.05,0.08964094
0.8125,0.05,0.073151747
0.84375,0.05,0.059258431
0.875,0.05,0.047651782
0.90625,0.05,0.038036745
0.9375,0.05,0.030137758
0.96875,0.05,0.023702153
1,0.05,0.018501993
1.03125,0.05,0.01433465
1.0625,0.05,0.01102244
1.09375,0.05,0.008411535
1.125,0.05,0.006370381
1.15625,0.05,0.004787791
1.1875,0.05,0.003570861
1.21875,0.05,0.002642825
1.25,0.05,0.001940942
1.28125,0.05,0.001414484
1.3125,0.05,0.001022864
1.34375,0.05,0.000733952
1.375,0.05,0.000522567
1.40625,0.05,0.00036918
1.4375,0.05,0.000258793
1.46875,0.05,0.000180005
1.5,0.05,0.000124231
1.53125,0.05,8.51E-05
1.5625,0.05,5.78E-05
1.59375,0.05,3.90E-05
1.625,0.05,2.61E-05
1.65625,0.05,1.73E-05
1.6875,0.05,1.14E-05
1.71875,0.05,7.45E-06
1.75,0.05,4.83E-06
1.78125,0.05,3.11E-06
1.8125,0.05,1.98E-06
1.84375,0.05,1.26E-06
1.875,0.05,7.89E-07
1.90625,0.05,4.92E-07
1.9375,0.05,3.05E-07
1.96875,0.05,1.87E-07
2,0.05,1.30E-07
-2,0.06,1.31E-07
-1.96875,0.06,1.87E-07
-1.9375,0.06,3.05E-07
-1.90625,0.06,4.93E-07
-1.875,0.06,7.91E-07
-1.84375,0.06,1.26E-06
-1.8125,0.06,1.99E-06
-1.78125,0.06,3.11E-06
-1.75,0.06,4.84E-06
-1.71875,0.06,7.46E-06
-1.6875,0.06,1.14E-05
-1.65625,0.06,1.73E-05
-1.625,0.06,2.61E-05
-1.59375,0.06,3.90E-05
-1.5625,0.06,5.79E-05
-1.53125,0.06,8.52E-05
-1.5,0.06,0.000124392
-1.46875,0.06,0.000180214
-1.4375,0.06,0.000259052
-1.40625,0.06,0.000369477
-1.375,0.06,0.000522863
-1.34375,0.06,0.00073415
-1.3125,0.06,0.001022759
-1.28125,0.06,0.001413671
-1.25,0.06,0.001938669
-1.21875,0.06,0.00263774
-1.1875,0.06,0.003560608
-1.15625,0.06,0.004768369
-1.125,0.06,0.006335155
-1.09375,0.06,0.008349742
-1.0625,0.06,0.010916989
-1.03125,0.06,0.014158951
-1,0.06,0.018215526
-0.96875,0.06,0.023244418
-0.9375,0.06,0.029420271
-0.90625,0.06,0.036932777
-0.875,0.06,0.045983654
-0.84375,0.06,0.056782411
-0.8125,0.06,0.069540928
-0.78125,0.06,0.08446695
-0.75,0.06,0.101756722
-0.71875,0.06,0.121587049
-0.6875,0.06,0.144107167
-0.65625,0.06,0.169430812
-0.625,0.06,0.197628899
-0.59375,0.06,0.228723134
-0.5625,0.06,0.262680845
-0.53125,0.06,0.29941117
-0.5,0.06,0.338762666
-0.46875,0.06,0.380522272
-0.4375,0.06,0.424415497
-0.40625,0.06,0.47010766
-0.375,0.06,0.517205947
-0.34375,0.06,0.565262133
-0.3125,0.06,0.613775778
-0.28125,0.06,0.662197839
-0.25,0.06,0.709934663
-0.21875,0.06,0.756352464
-0.1875,0.06,0.800782474
-0.15625,0.06,0.842527061
-0.125,0.06,0.880867278
-0.09375,0.06,0.915072361
